iter	RMSE
0	192.7963567
1	186.1899799
2	179.9855631
3	174.1352219
4	168.699854
5	163.417733
6	158.6613801
7	153.9542141
8	149.6737307
9	145.4253697
10	141.3516772
11	137.6113954
12	134.0143466
13	130.6513476
14	127.571667
15	124.5966777
16	121.7709909
17	118.9925549
18	116.3419015
19	113.7791674
20	111.2595437
21	108.9227253
22	106.6684918
23	104.3706546
24	102.2367287
25	100.1482523
26	98.20364611
27	96.38920079
28	94.55588472
29	92.83868611
30	91.11265049
31	89.4890244
32	87.79828651
33	86.10004828
34	84.57721218
35	83.11674404
36	81.60943608
37	80.16740515
38	78.82294636
39	77.47229873
40	76.17391673
41	74.88065165
42	73.64485411
43	72.42713267
44	71.21930495
45	70.0184777
46	68.87909608
47	67.76514561
48	66.6748096
49	65.57941224
50	64.54608049
51	63.49393464
52	62.47230362
53	61.55498155
54	60.62853588
55	59.70418036
56	58.77591228
57	57.87565547
58	57.02596478
59	56.16563099
60	55.3482225
61	54.53389079
62	53.77831009
63	53.01633481
64	52.27028871
65	51.50491718
66	50.7669208
67	50.04071324
68	49.3489607
69	48.65217741
70	48.01051747
71	47.35930299
72	46.74772012
73	46.14228733
74	45.5289164
75	44.9240386
76	44.33971305
77	43.77645017
78	43.22364219
79	42.67498717
80	42.12092086
81	41.58551856
82	41.08032768
83	40.56705467
84	40.07715547
85	39.57488027
86	39.09692307
87	38.62489799
88	38.14516141
89	37.68719149
90	37.24298746
91	36.82818034
92	36.37645979
93	35.9605025
94	35.53276871
95	35.08798576
96	34.6969272
97	34.29689703
98	33.91915862
99	33.51376101
100	33.15053941
101	32.76122462
102	32.40842639
103	32.04433409
104	31.691009
105	31.32918525
106	30.97823903
107	30.66180216
108	30.33053929
109	29.99055171
110	29.65156202
111	29.34134849
112	29.01855116
113	28.70466779
114	28.40044468
115	28.09558125
116	27.79516804
117	27.50371771
118	27.22463742
119	26.93412141
120	26.66010971
121	26.39057346
122	26.11486483
123	25.85456679
124	25.59694928
125	25.35579379
126	25.12450129
127	24.89878197
128	24.65396605
129	24.4051506
130	24.17686531
131	23.94440066
132	23.72442904
133	23.50357397
134	23.28677696
135	23.06914966
136	22.85501993
137	22.65533768
138	22.44492226
139	22.24163053
140	22.03928397
141	21.83171585
142	21.63981921
143	21.44449905
144	21.25996676
145	21.07247665
146	20.88590703
147	20.70634441
148	20.52912846
149	20.3531767
150	20.18140027
151	20.00068267
152	19.8392987
153	19.68079022
154	19.51211224
155	19.3547009
156	19.19736995
157	19.04055666
158	18.87968554
159	18.72660731
160	18.57504873
161	18.42967055
162	18.28293985
163	18.13128459
164	17.98571729
165	17.84481994
166	17.71076884
167	17.57950134
168	17.44641855
169	17.31398678
170	17.18405548
171	17.05749408
172	16.93173099
173	16.80997255
174	16.68640453
175	16.5636598
176	16.44593991
177	16.32521598
178	16.20831947
179	16.09537755
180	15.98108821
181	15.87092656
182	15.76402522
183	15.65616679
184	15.54975576
185	15.44454159
186	15.34316897
187	15.24003936
188	15.14256666
189	15.04279954
190	14.9474173
191	14.8534877
192	14.76192555
193	14.66922863
194	14.57631332
195	14.48669912
196	14.39732167
197	14.3087694
198	14.22130732
199	14.13861911
200	14.05894104
201	13.97658127
202	13.89991516
203	13.82147862
204	13.74039183
205	13.66696732
206	13.59145609
207	13.51865484
208	13.4464447
209	13.37390579
210	13.30178601
211	13.23611871
212	13.16791629
213	13.10093325
214	13.03609363
215	12.97058785
216	12.90684314
217	12.84481649
218	12.78128076
219	12.72274341
220	12.66303045
221	12.60646906
222	12.55007825
223	12.49593863
224	12.44025764
225	12.38606594
226	12.33213886
227	12.2775322
228	12.22673528
229	12.17450691
230	12.12239375
231	12.06587312
232	12.01686938
233	11.96857947
234	11.92209067
235	11.87757277
236	11.82966984
237	11.78602471
238	11.74291641
239	11.6965201
240	11.65280511
241	11.60974925
242	11.56630119
243	11.52480594
244	11.48378947
245	11.43071394
246	11.38904249
247	11.34751336
248	11.30889982
249	11.27166185
250	11.23688743
251	11.20159793
252	11.16473393
253	11.13052547
254	11.09645006
255	11.06228197
256	11.0287579
257	10.99591373
258	10.96441231
259	10.93040551
260	10.9010539
261	10.86624721
262	10.83125559
263	10.79019487
264	10.76005305
265	10.72975942
266	10.69974396
267	10.67113912
268	10.64317787
269	10.61376947
270	10.58183092
271	10.53958203
272	10.51416929
273	10.48728479
274	10.46134954
275	10.4347124
276	10.40930237
277	10.38458254
278	10.36007621
279	10.33543052
280	10.3123368
281	10.28924445
282	10.26618591
283	10.24362362
284	10.20830716
285	10.18654692
286	10.16471463
287	10.14403747
288	10.1234534
289	10.10248331
290	10.08239339
291	10.05427706
292	10.03110524
293	10.00554255
294	9.983017825
295	9.964276151
296	9.927170454
297	9.908417632
298	9.890523009
299	9.872795654
300	9.855299198
301	9.837802828
302	9.821713595
303	9.804941113
304	9.772500559
305	9.744567857
306	9.728926556
307	9.699791157
308	9.680754674
309	9.658359727
310	9.637325356
311	9.622102939
312	9.606961694
313	9.592199419
314	9.576993201
315	9.561913767
316	9.544862551
317	9.529195911
318	9.508369003
319	9.494547565
320	9.48119033
321	9.46480684
322	9.451103663
323	9.436298192
324	9.404338891
325	9.385420554
326	9.373288173
327	9.360525984
328	9.347667577
329	9.334954747
330	9.323190577
331	9.296836846
332	9.28439221
333	9.272576758
334	9.260431534
335	9.238194792
336	9.218932401
337	9.206829402
338	9.195567535
339	9.184151141
340	9.154896515
341	9.144202292
342	9.11711563
343	9.105883157
344	9.084152355
345	9.075166706
346	9.066102185
347	9.054246938
348	9.037712726
349	9.024639847
350	9.011240902
351	8.989086538
352	8.978090215
353	8.965210854
354	8.955235302
355	8.945353506
356	8.935028229
357	8.926005812
358	8.917151809
359	8.898492833
360	8.888941506
361	8.871738037
362	8.856769281
363	8.848181309
364	8.838808508
365	8.83106947
366	8.823953624
367	8.815529918
368	8.80646823
369	8.790259957
370	8.778648124
371	8.765211953
372	8.75775707
373	8.744025026
374	8.725708568
