iter	Passed	Remaining
0	182	182240
1	190	94996
2	199	66149
3	206	51475
4	215	42915
5	223	37004
6	230	32724
7	238	29533
8	246	27117
9	253	25112
10	260	23421
11	267	22022
12	278	21120
13	287	20245
14	294	19349
15	306	18846
16	313	18135
17	321	17514
18	328	16958
19	335	16420
20	340	15892
21	346	15418
22	352	14972
23	358	14583
24	363	14194
25	369	13831
26	374	13503
27	381	13253
28	387	12973
29	394	12761
30	401	12562
31	410	12412
32	417	12224
33	423	12041
34	429	11835
35	434	11637
36	439	11442
37	445	11284
38	452	11158
39	457	10988
40	462	10824
41	469	10711
42	475	10583
43	481	10464
44	487	10341
45	493	10241
46	500	10138
47	507	10066
48	514	9985
49	522	9930
50	530	9869
51	540	9847
52	553	9881
53	560	9815
54	567	9753
55	574	9685
56	580	9610
57	587	9537
58	596	9515
59	603	9459
60	610	9402
61	620	9386
62	628	9344
63	637	9319
64	645	9278
65	651	9219
66	656	9148
67	662	9082
68	668	9022
69	674	8956
70	680	8901
71	686	8846
72	693	8805
73	699	8752
74	704	8694
75	710	8638
76	716	8584
77	722	8536
78	727	8487
79	733	8438
80	739	8394
81	746	8356
82	752	8318
83	759	8282
84	765	8239
85	771	8202
86	778	8168
87	785	8138
88	792	8115
89	800	8091
90	806	8053
91	811	8011
92	816	7966
93	822	7925
94	828	7889
95	834	7857
96	840	7826
97	847	7796
98	853	7766
99	860	7743
100	867	7718
101	873	7691
102	879	7655
103	884	7616
104	889	7584
105	896	7561
106	903	7536
107	909	7512
108	916	7494
109	922	7465
110	929	7445
111	936	7424
112	943	7409
113	949	7381
114	956	7363
115	976	7440
116	983	7419
117	989	7399
118	996	7379
119	1004	7366
120	1011	7345
121	1018	7331
122	1027	7322
123	1034	7307
124	1043	7302
125	1050	7283
126	1057	7266
127	1064	7250
128	1070	7230
129	1078	7218
130	1085	7199
131	1091	7178
132	1098	7162
133	1107	7154
134	1113	7134
135	1121	7124
136	1128	7109
137	1135	7091
138	1141	7073
139	1148	7055
140	1154	7032
141	1161	7019
142	1168	7001
143	1175	6990
144	1184	6984
145	1191	6967
146	1198	6952
147	1203	6929
148	1209	6907
149	1214	6884
150	1220	6861
151	1225	6834
152	1230	6810
153	1236	6792
154	1242	6772
155	1247	6747
156	1252	6724
157	1257	6702
158	1263	6681
159	1269	6664
160	1275	6644
161	1281	6628
162	1287	6609
163	1292	6590
164	1298	6571
165	1304	6552
166	1309	6533
167	1315	6516
168	1322	6500
169	1328	6483
170	1335	6472
171	1340	6452
172	1345	6433
173	1351	6414
174	1357	6398
175	1363	6381
176	1368	6364
177	1375	6350
178	1380	6333
179	1386	6318
180	1391	6298
181	1398	6285
182	1403	6267
183	1409	6251
184	1415	6237
185	1420	6218
186	1426	6201
187	1431	6182
188	1436	6165
189	1443	6151
190	1448	6135
191	1453	6115
192	1458	6097
193	1463	6081
194	1469	6066
195	1474	6049
196	1479	6031
197	1485	6016
198	1490	5999
199	1495	5983
200	1500	5964
201	1505	5946
202	1510	5932
203	1516	5918
204	1522	5905
205	1529	5894
206	1534	5878
207	1541	5868
208	1546	5852
209	1552	5840
210	1558	5827
211	1565	5820
212	1573	5814
213	1581	5807
214	1588	5800
215	1596	5793
216	1601	5779
217	1606	5763
218	1612	5751
219	1618	5738
220	1624	5724
221	1629	5710
222	1636	5701
223	1641	5687
224	1647	5675
225	1654	5666
226	1660	5654
227	1666	5642
228	1673	5635
229	1680	5625
230	1687	5617
231	1693	5606
232	1699	5594
233	1705	5582
234	1710	5569
235	1717	5560
236	1725	5554
237	1731	5542
238	1736	5529
239	1742	5518
240	1748	5508
241	1754	5496
242	1760	5483
243	1766	5473
244	1773	5465
245	1782	5464
246	1789	5456
247	1795	5444
248	1801	5433
249	1807	5422
250	1814	5415
251	1822	5409
252	1828	5398
253	1834	5387
254	1841	5378
255	1847	5370
256	1854	5362
257	1862	5356
258	1869	5347
259	1875	5338
260	1883	5333
261	1890	5325
262	1896	5314
263	1903	5307
264	1910	5297
265	1916	5289
266	1923	5281
267	1929	5269
268	1935	5260
269	1941	5249
270	1948	5240
271	1954	5230
272	1960	5222
273	1969	5218
274	1977	5213
275	1984	5206
276	1990	5195
277	1995	5182
278	2001	5172
279	2007	5161
280	2011	5148
281	2017	5136
282	2022	5123
283	2026	5109
284	2031	5095
285	2036	5084
286	2041	5070
287	2045	5057
288	2051	5046
289	2055	5033
290	2060	5020
291	2065	5009
292	2070	4995
293	2075	4984
294	2080	4972
295	2085	4960
296	2090	4948
297	2095	4935
298	2101	4925
299	2106	4914
